Ticker,Company Name,Theme,Sub Theme,Assignment
GLPI,"Gaming & Leisure Properties, Inc.",Real Estate & REITs,"Real Estate - Travel, Leisure & Entertainment Properties",Primary
GLW,Corning Inc /Ny,Telecommunications,Telecom - Infrastructure & Equipment,Primary
GM,General Motors Co,Transportation & Logistics,Transportation - Urban Mobility & Emerging Transport Tech,Primary
GM,General Motors Co,Electric Vehicles & Mobility,EVs - Manufacturers,Secondary
GME,Gamestop Corp,E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",Primary
GMED,Globus Medical Inc,Industrial Automation & Robotics,Robotics - Medical & Surgical Robotics,Primary
GNK,Genco Shipping & Trading Ltd,Transportation & Logistics,Transportation - Marine Shipping & Ports,Primary
GNRC,Generac Holdings Inc.,Energy - Renewable,Energy Clean - Batteries & Storage,Primary
GNRC,Generac Holdings Inc.,Smart Home & IoT,Smart Home - Energy & Utilities,Secondary
GNTX,Gentex Corp,Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,Primary
GOOGL,Alphabet Inc.,Artificial Intelligence,"AI - Ads, Search & Recommendations",Primary
GOOGL,Alphabet Inc.,Cloud Computing,Cloud - Hyperscalers & Platforms,Secondary
GPC,Genuine Parts Co,Industrials & Construction,Industrials - Distribution & Rental Services,Primary
GPC,Genuine Parts Co,E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",Secondary
GPCR,Structure Therapeutics Inc.,Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,Primary
GPK,Graphic Packaging Holding Co,Industrials & Construction,Industrials - Packaging & Containers,Primary
GPN,Global Payments Inc,FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary
GPRE,Green Plains Inc.,Energy - Renewable,Energy Clean - Fuels & Bioenergy,Primary
GPRE,Green Plains Inc.,Commodities - Agriculture,"Comm Agri - Grains, Oilseeds & Softs",Secondary
GRMN,Garmin Ltd,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",Primary
