Ticker,Company Name,Theme,Sub Theme,Setup,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Pct vs 30W EMA,Weekly PPO Hist,Weekly Hist Improving,Daily PPO,Daily PPO Hist,Daily PPO Turning Up,RS 1M Change %,Vol Ratio 20/60,Down Day Capture
NET,"Cloudflare, Inc.",Cybersecurity,Cybersecurity - Application Security,WATCHLIST,100519.5264,-0.0698,-0.0744,0.0512,13.11,1.162,False,0.157,-1.143,False,-7.3,1.1,5.87
WMB,"Williams Companies, Inc.",Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,WATCHLIST,91737.5631,0.0057,0.0369,0.0424,3.93,-0.694,True,0.629,0.284,False,3.85,0.95,-0.01
ELV,"Elevance Health, Inc.",Healthcare & Biotech,"Healthcare - IT, Services & Data Infrastructure",WATCHLIST,89616.9001,0.0331,0.078,0.0457,8.84,-0.308,True,0.954,0.302,False,7.96,0.66,0.31
MCO,Moodys Corp /De/,Big Data & Analytics,"Big Data - Data Generation, Sourcing & Providers",WATCHLIST,86143.6887,-0.0416,0.0226,0.103,3.98,1.065,False,0.951,-0.266,False,2.41,0.8,0.72
EPD,Enterprise Products Partners L.P.,Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,WATCHLIST,85266.9645,-0.0021,0.0215,0.0403,6.46,-0.059,True,0.936,0.058,False,2.3,0.94,-0.28
E,Eni Spa,Energy - Traditional,Energy Base - Integrated Energy Majors,WATCHLIST,79986.6716,0.0146,0.0019,-0.014,6.78,-0.456,False,0.749,-0.475,False,0.34,0.89,-0.76
CP,Canadian Pacific Kansas City Ltd/Cn,Transportation & Logistics,Transportation - Freight Rail & Infrastructure,WATCHLIST,79934.677,-0.0268,0.0107,0.0301,5.04,-0.034,False,-0.041,-0.58,True,1.22,0.81,1.65
EOG,Eog Resources Inc,Energy - Traditional,Energy Base - Oil & Gas Exploration & Production,WATCHLIST,77580.4846,0.0128,0.0116,0.0337,8.05,0.063,False,0.906,-0.303,False,1.31,0.86,-1.63
LITE,Lumentum Holdings Inc.,Hardware,Hardware - Communications & Telecom,WATCHLIST,76726.6898,-0.0154,0.0374,-0.0605,16.12,-2.126,True,1.887,-0.718,True,3.9,1.04,2.17
FDX,Fedex Corp,Industrial Automation & Robotics,Automation - Smart Logistics & Warehouse Automation,WATCHLIST,75880.0876,-0.0253,0.0293,-0.0022,6.26,-0.922,False,0.355,-0.462,False,3.08,0.89,0.61
ROST,"Ross Stores, Inc.",E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",WATCHLIST,74239.9672,0.0094,-0.0811,-0.0064,3.85,-0.947,False,-1.173,-0.483,True,-7.98,1.03,1.48
NSC,Norfolk Southern Corp,Transportation & Logistics,Transportation - Freight Rail & Infrastructure,WATCHLIST,74041.0245,-0.0551,-0.0308,0.0841,3.61,0.232,False,-0.075,-0.837,False,-2.94,1.04,0.41
KMI,"Kinder Morgan, Inc.",Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,WATCHLIST,71279.7143,-0.0051,0.0006,0.0103,0.69,-0.746,True,-0.061,-0.019,False,0.21,1.01,0.02
APD,"Air Products & Chemicals, Inc.",Energy - Renewable,Energy Clean - Hydrogen & Fuel Cells,WATCHLIST,67897.9338,-0.0221,0.0223,0.0739,3.66,0.154,False,0.601,-0.205,False,2.38,0.77,0.88
HPE,Hewlett Packard Enterprise Co,Hardware,Hardware - Communications & Telecom,WATCHLIST,64170.9015,-0.0059,-0.0074,-0.0544,27.46,-0.734,False,0.935,-1.019,False,-0.6,1.12,4.81
MET,"Metlife, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,62604.0095,0.0115,0.0155,0.2133,12.75,0.671,False,0.804,-0.009,True,1.7,0.8,1.09
GWW,"W.W. Grainger, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,WATCHLIST,61447.4179,0.0139,0.0205,0.0334,6.22,-1.049,False,-0.416,0.115,True,2.2,0.7,0.11
NUE,Nucor Corp,Commodities - Metals,Comm Metals - Industrial & Base Metals,WATCHLIST,60135.6657,0.0422,-0.0473,0.0154,15.78,-0.828,True,0.39,0.122,True,-4.59,0.91,1.37
FANG,"Diamondback Energy, Inc.",Energy - Traditional,Energy Base - Oil & Gas Exploration & Production,WATCHLIST,56975.6221,0.0078,0.044,-0.0488,6.86,-0.181,False,0.734,-0.398,False,4.56,0.89,-0.5
KEYS,"Keysight Technologies, Inc.",Semiconductors,Semis - EDA Tools & Design Software,WATCHLIST,55020.5235,0.0226,-0.0411,-0.0664,6.21,-2.076,True,-0.72,-0.125,True,-3.97,1.0,2.03
AME,Ametek Inc/,Hardware,Hardware - Industrial & IoT,WATCHLIST,53493.5265,0.0062,-0.0643,0.0431,2.95,-0.352,False,-1.053,-0.611,True,-6.29,1.1,1.56
EW,Edwards Lifesciences Corp,Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,WATCHLIST,51790.8111,-0.0034,0.0033,0.0453,4.23,0.175,False,0.357,-0.237,False,0.48,0.68,0.39
AMP,"Ameriprise Financial, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",WATCHLIST,49570.8324,0.0022,0.0126,0.2753,11.67,1.712,False,0.995,-0.386,True,1.41,0.71,1.48
PRU,"Prudential Financial, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,42491.0602,0.0186,-0.0009,0.2246,11.23,1.022,False,0.555,-0.147,True,0.06,0.87,1.08
ED,"Consolidated Edison, Inc.",Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,WATCHLIST,40072.7818,-0.0019,-0.0022,0.0453,0.32,-0.526,True,-0.221,0.109,False,-0.07,0.94,-0.39
NTAP,"Netapp, Inc.",Hardware,Hardware - Data Center Infrastructure & Servers,WATCHLIST,36698.751,-0.0076,-0.0256,0.028,21.91,0.601,False,0.474,-1.231,True,-2.41,1.05,2.24
STLD,Steel Dynamics Inc,Commodities - Metals,Comm Metals - Industrial & Base Metals,WATCHLIST,35530.3178,0.0315,-0.0869,-0.1182,7.84,-1.818,True,-0.944,0.279,True,-8.56,0.93,2.47
NTRS,Northern Trust Corp,Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",WATCHLIST,34134.0365,0.0039,0.028,0.1183,11.34,-0.201,False,0.354,-0.176,True,2.95,0.97,0.62
ACGL,Arch Capital Group Ltd.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,34088.79,-0.0075,-0.0143,0.1162,1.27,0.004,False,-0.209,-0.089,False,-1.28,1.09,-0.23
CNC,Centene Corp,Healthcare & Biotech,"Healthcare - IT, Services & Data Infrastructure",WATCHLIST,33972.0356,0.0354,0.0464,0.1258,18.21,-1.418,False,0.749,0.339,True,4.79,0.78,1.22
KHC,Kraft Heinz Co,Consumer Goods & Retail,"Consumer - Health, Food & Beverages",WATCHLIST,30090.2769,-0.0176,-0.0523,0.1294,3.71,0.557,False,0.257,0.023,False,-5.09,1.06,0.13
